graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,2,23,31,3,17,0,0,
c-fat200-2.clq,24,24.000000,24,0,7,15,27,16,15,0,0,
gen200_p0.9_55.clq,55,55.000000,48,0,37,294,560,14,279,0,3,
hamming6-4.clq,4,4.000000,4,0,0,90,130,0,67,0,0,
san200_0.7_1.clq,30,30.000000,21,0,18,119,210,8,105,0,1,
san200_0.9_1.clq,70,70.000000,70,0,3,5,8,0,5,0,0,
san200_0.9_2.clq,60,60.000000,53,0,12,58,123,2,62,0,1,
c-fat500-10.clq,126,126.000000,126,0,9,8,10,11,7,0,0,
c-fat500-5.clq,64,64.000000,64,0,180,13,48,36,26,3,14,
c-fat200-5.clq,58,58.000000,58,0,60,98,175,38,89,0,5,
c-fat500-1.clq,14,14.000000,14,0,15,30,46,22,25,0,1,
c-fat500-2.clq,26,26.000000,26,0,89,36,67,39,35,1,6,
san200_0.7_2.clq,18,18.000000,17,0,72,375,647,33,324,0,6,
C125.9.clq,34,34.000000,34,0,872,12169,24296,26,12149,0,18,
keller4.clq,11,11.000000,11,0,580,2900,5648,60,2825,0,31,
brock200_2.clq,12,12.000000,10,0,310,780,1537,60,769,0,17,
p_hat300-1.clq,8,8.000000,8,0,295,557,819,75,410,0,32,
brock200_3.clq,15,15.000000,14,0,1535,3387,6773,105,3386,0,89,
gen200_p0.9_44.clq,44,44.000000,41,0,1398,6301,12628,72,6313,0,46,
brock200_4.clq,17,17.000000,16,0,3915,7863,15937,135,7969,0,209,
san200_0.9_3.clq,44,44.000000,41,0,2882,10332,20724,103,10362,0,66,
brock200_1.clq,21,21.000000,20,1,7202,13018,26118,182,13056,0,286,
p_hat300-2.clq,25,25.000000,25,0,416,908,1455,121,728,0,38,
sanr200_0.7.clq,18,18.000000,18,1,7200,11127,22463,199,11231,0,331,
