graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,11,107,0,58,0,0,
c-fat200-1.clq,12,12.000000,12,0,2,8,19,2,10,0,0,
c-fat200-2.clq,24,24.000000,24,0,5,12,25,12,14,0,0,
gen200_p0.9_55.clq,55,55.000000,48,0,26,154,348,11,172,0,3,
hamming6-4.clq,4,4.000000,4,0,0,30,109,0,56,0,0,
san200_0.7_1.clq,30,30.000000,22,0,22,155,355,12,178,0,2,
san200_0.9_1.clq,70,70.000000,70,0,4,5,14,0,8,0,0,
san200_0.9_2.clq,60,60.000000,51,0,12,90,173,4,85,0,1,
c-fat500-10.clq,126,126.000000,126,0,19,11,29,1,19,0,2,
c-fat500-5.clq,64,64.000000,64,0,155,13,44,33,24,3,18,
c-fat200-5.clq,58,58.000000,58,0,68,82,187,28,95,0,8,
c-fat500-1.clq,14,14.000000,14,0,16,16,45,18,24,0,1,
c-fat500-2.clq,26,26.000000,26,0,99,31,55,62,29,1,14,
san200_0.7_2.clq,18,18.000000,18,0,16,30,137,6,69,0,2,
C125.9.clq,34,34.000000,34,0,901,5612,23049,29,11526,0,26,
keller4.clq,11,11.000000,11,0,624,1876,5684,61,2843,0,55,
brock200_2.clq,12,12.000000,11,0,406,859,1893,61,946,0,29,
p_hat300-1.clq,8,8.000000,8,0,379,533,1011,71,506,0,53,
brock200_3.clq,15,15.000000,14,0,1978,3309,7263,119,3631,0,118,
gen200_p0.9_44.clq,44,44.000000,42,0,2169,5667,15541,95,7770,0,98,
brock200_4.clq,17,17.000000,16,0,3518,6748,14986,125,7493,0,211,
san200_0.9_3.clq,44,44.000000,41,0,257,1013,3784,41,1891,0,13,
