graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,1,12,23,2,12,0,0,
c-fat200-2.clq,24,24.000000,24,0,5,17,39,4,21,0,0,
gen200_p0.9_55.clq,55,55.000000,47,0,29,265,499,8,250,0,3,
hamming6-4.clq,4,4.000000,4,0,0,97,139,0,71,0,0,
san200_0.7_1.clq,30,30.000000,21,0,34,142,360,6,180,0,3,
san200_0.9_1.clq,70,70.000000,70,0,2,6,7,0,5,0,0,
san200_0.9_2.clq,60,60.000000,52,0,16,115,216,2,108,0,1,
c-fat500-10.clq,126,126.000000,126,0,91,35,67,19,42,1,5,
c-fat500-5.clq,64,64.000000,64,0,461,37,93,53,54,4,33,
c-fat200-5.clq,58,58.000000,58,0,70,98,226,10,117,0,8,
c-fat500-1.clq,14,14.000000,14,0,52,189,451,4,261,0,5,
c-fat500-2.clq,26,26.000000,26,0,230,71,228,48,123,0,22,
san200_0.7_2.clq,18,18.000000,18,0,38,92,275,7,138,0,3,
C125.9.clq,34,34.000000,34,0,701,10826,21598,23,10800,0,14,
keller4.clq,11,11.000000,11,0,367,3031,6010,28,3007,0,25,
brock200_2.clq,12,12.000000,10,0,613,1945,4097,38,2049,0,35,
p_hat300-1.clq,8,8.000000,8,0,668,1000,2167,23,1093,0,53,
brock200_3.clq,15,15.000000,14,0,2028,4761,10007,87,5003,0,125,
