graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,64,0,34,0,0,
c-fat200-1.clq,12,12.000000,12,1,1,7,7,0,0,0,0,
c-fat200-2.clq,24,24.000000,24,1,1,2,2,0,0,0,0,
gen200_p0.9_55.clq,55,49.000000,49,1,2,3,3,0,0,0,0,
hamming6-4.clq,4,4.000000,4,1,0,11,11,0,0,0,0,
san200_0.7_1.clq,30,22.000000,22,1,2,7,7,0,0,0,0,
san200_0.9_1.clq,70,70.000000,70,0,3,7,10,0,6,0,0,
san200_0.9_2.clq,60,49.000000,49,1,2,4,4,0,0,0,0,
